OTU ID	C0	C7	C15	C25	C40	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU329	0	3 	2	0	2	3	0	0	0	2	0	1	0
OTU330	5	4 	13	4	22	3	6	9	7	4	9	12	11
OTU331	0	0 	0	0	1	0	1	0	0	0	0	0	0
OTU332	1	0 	1	0	0	0	0	0	0	0	0	0	0
OTU333	0	0 	0	0	2	0	1	0	0	0	3	3	3
OTU334	1	1 	0	0	0	1	2	0	0	1	2	1	0
OTU335	0	1 	0	0	0	1	0	0	0	0	0	0	1
OTU336	12	5 	8	5	11	4	7	13	9	6	9	7	17
OTU337	0	1 	2	2	1	1	1	2	1	0	0	2	0
OTU338	1	1 	4	7	3	0	1	2	1	1	3	3	4
OTU339	0	0 	0	3	1	0	0	0	0	0	0	0	0
OTU340	5	3 	3	2	0	4	1	1	0	2	0	2	0
OTU341	1	1 	0	0	0	0	0	0	0	1	0	3	1
OTU342	2	1 	1	0	3	0	2	1	0	2	0	0	0
OTU343	1	1 	0	0	0	1	0	0	0	0	0	0	1
OTU344	7	4 	1	3	2	2	4	12	6	5	5	5	6
OTU345	4	9 	4	4	6	9	5	5	7	8	5	6	1
OTU346	171	233 	27	270	65	172	39	23	30	294	38	108	38
OTU347	20	12 	20	18	22	13	20	23	12	10	12	12	21
OTU348	0	0 	0	1	0	0	0	0	0	0	0	0	1
OTU349	1	2 	0	1	0	4	3	0	1	0	0	0	1
OTU350	0	0 	2	2	1	0	0	1	1	0	0	0	1
OTU351	2	5 	2	2	2	4	3	3	3	5	3	2	0
OTU352	14	5 	22	13	27	6	18	30	28	4	10	17	37
OTU353	0	0 	0	0	0	0	0	0	1	0	0	0	1
OTU354	0	0 	0	0	0	0	0	1	0	0	0	1	1
OTU355	1	0 	1	1	3	0	2	0	0	0	6	1	0
OTU356	8	2 	6	4	9	2	9	0	10	2	2	5	7
OTU357	3	0 	3	3	7	0	3	2	1	0	4	5	1
OTU358	4	3 	7	2	2	3	0	0	1	2	0	2	2
OTU359	3	2 	2	1	0	3	0	0	2	1	0	0	1
OTU360	0	2 	0	1	1	3	0	0	1	0	0	0	0
OTU361	0	1 	2	1	0	0	1	1	1	2	3	3	3
OTU362	0	0 	0	3	2	0	1	2	1	0	2	2	4
OTU363	1	2 	0	5	0	2	1	7	1	2	3	1	2
OTU364	46	25 	35	51	40	19	46	45	33	30	50	25	37
OTU365	10	7 	2	1	3	8	2	6	0	6	2	3	3
OTU366	0	1 	1	0	1	2	3	0	2	0	1	0	1
OTU367	0	2 	1	0	0	2	1	1	0	2	1	0	1
OTU368	0	0 	0	0	0	0	0	0	0	0	0	0	0
OTU369	2	1 	2	2	2	2	1	3	2	0	1	1	4
OTU370	5	3 	1	1	1	3	2	1	3	3	3	3	1
OTU371	2	2 	2	4	2	1	1	3	4	2	2	3	1
OTU372	0	0 	1	0	1	0	0	2	1	0	4	3	2
OTU373	58	53 	52	42	36	59	54	42	37	47	53	53	61
OTU374	1	0 	0	0	1	0	0	0	0	0	0	0	0
OTU375	12	19 	17	17	12	24	18	18	15	14	19	12	18
OTU376	0	2 	0	4	0	3	0	1	1	0	1	2	0
OTU377	1	1 	0	1	4	1	1	0	0	0	1	0	2
OTU378	1	1 	1	0	2	1	2	1	2	0	0	1	1
OTU379	5	3 	7	4	3	2	4	4	4	3	4	8	4
OTU380	0	1 	0	0	1	1	0	0	1	0	0	0	0
OTU381	7	7 	7	5	6	4	10	8	5	10	10	12	7
OTU382	0	0 	1	0	0	0	0	1	0	0	0	0	0
OTU383	1	1 	1	0	0	0	0	0	0	1	2	2	3
OTU384	0	1 	0	1	2	1	0	0	0	0	1	0	0
OTU385	0	1 	0	0	0	1	0	0	4	0	1	0	3
OTU386	0	1 	0	0	0	1	1	1	1	0	3	0	1
OTU387	90	100 	83	91	91	96	87	103	110	104	95	126	108
