OTU ID	HP7	HP15	HP25	HP40	LP7	LP15	LP25	LP40
OTU270	1	0	0	0	0	0	1	0
OTU271	0	0	0	0	0	0	1	1
OTU272	0	0	1	2	0	0	2	1
OTU273	0	0	1	1	0	0	0	0
OTU274	0	0	1	1	0	1	1	0
OTU275	1	4	0	0	0	0	2	0
OTU276	0	1	2	3	1	1	1	4
OTU277	5	9	7	8	4	4	5	3
OTU278	0	2	0	0	1	0	2	1
OTU279	1	1	0	0	0	2	1	1
OTU280	0	0	0	0	0	0	0	0
OTU281	1	0	0	0	0	1	0	1
OTU282	6	6	4	4	7	8	9	4
OTU283	2	6	4	2	2	3	2	3
OTU284	1	0	0	0	0	1	1	1
OTU285	3	4	6	2	4	3	1	2
OTU286	0	2	0	6	1	1	2	3
OTU287	9	4	5	6	2	5	7	7
OTU288	28	18	23	17	21	16	36	22
OTU289	0	0	0	0	0	0	0	1
OTU290	1	6	5	3	1	4	2	5
OTU291	0	0	0	1	2	1	2	0
OTU292	1	0	3	0	0	1	0	2
OTU293	0	3	0	1	4	4	2	0
OTU294	0	0	0	0	0	0	0	0
OTU295	8	8	6	10	6	11	8	8
OTU296	2	0	0	0	0	0	1	0
OTU297	8	9	12	8	4	7	10	11
OTU298	1	0	0	0	0	0	0	0
OTU299	1	5	1	3	5	4	3	4
OTU300	13	20	15	22	18	11	12	31
OTU301	8	6	1	9	3	11	6	5
OTU302	0	0	0	0	3	0	0	0
OTU303	14	3	4	11	7	10	3	8
OTU304	0	2	1	0	1	0	3	0
OTU305	0	0	1	0	0	1	0	1
OTU306	0	2	2	2	0	0	0	0
OTU307	7	13	9	6	0	4	9	11
OTU308	0	1	1	1	0	0	0	0
OTU309	0	0	0	0	0	1	0	1
OTU310	2	1	2	2	1	2	3	3
OTU311	0	1	2	0	0	0	5	0
OTU312	1	1	1	0	1	1	0	0
OTU313	0	0	0	0	0	1	3	0
OTU314	0	0	0	1	0	0	0	0
OTU315	12	23	18	17	17	12	16	19
OTU316	1	0	0	0	1	0	0	0
OTU317	0	0	2	0	0	1	0	1
OTU318	0	1	0	2	0	0	1	1
OTU319	0	0	0	0	2	0	1	0
OTU320	0	0	0	1	1	1	1	2
OTU321	0	1	0	1	0	0	1	0
OTU322	1	2	3	1	4	2	4	3
OTU323	0	1	0	0	0	0	0	0
OTU324	0	0	0	0	0	0	0	0
OTU325	0	2	5	0	1	0	0	0
OTU326	1	3	2	3	0	1	3	1
OTU327	3	5	7	3	1	3	1	5
OTU328	0	1	0	0	2	1	0	1
OTU329	3	0	0	0	2	0	1	0
OTU330	3	6	9	7	4	9	12	11
OTU331	0	1	0	0	0	0	0	0
OTU332	0	0	0	0	0	0	0	0
OTU333	0	1	0	0	0	3	3	3
OTU334	1	2	0	0	1	2	1	0
OTU335	1	0	0	0	0	0	0	1
OTU336	4	7	13	9	6	9	7	17
OTU337	1	1	2	1	0	0	2	0
OTU338	0	1	2	1	1	3	3	4
OTU339	0	0	0	0	0	0	0	0
OTU340	4	1	1	0	2	0	2	0
OTU341	0	0	0	0	1	0	3	1
OTU342	0	2	1	0	2	0	0	0
OTU343	1	0	0	0	0	0	0	1
OTU344	2	4	12	6	5	5	5	6
OTU345	9	5	5	7	8	5	6	1
OTU346	172	39	23	30	294	38	108	38
OTU347	13	20	23	12	10	12	12	21
OTU348	0	0	0	0	0	0	0	1
OTU349	4	3	0	1	0	0	0	1
OTU350	0	0	1	1	0	0	0	1
OTU351	4	3	3	3	5	3	2	0
OTU352	6	18	30	28	4	10	17	37
OTU353	0	0	0	1	0	0	0	1
OTU354	0	0	1	0	0	0	1	1
OTU355	0	2	0	0	0	6	1	0
OTU356	2	9	0	10	2	2	5	7
OTU357	0	3	2	1	0	4	5	1
OTU358	3	0	0	1	2	0	2	2
OTU359	3	0	0	2	1	0	0	1
OTU360	3	0	0	1	0	0	0	0
OTU361	0	1	1	1	2	3	3	3
OTU362	0	1	2	1	0	2	2	4
OTU363	2	1	7	1	2	3	1	2
OTU364	19	46	45	33	30	50	25	37
OTU365	8	2	6	0	6	2	3	3
OTU366	2	3	0	2	0	1	0	1
OTU367	2	1	1	0	2	1	0	1
OTU368	0	0	0	0	0	0	0	0
OTU369	2	1	3	2	0	1	1	4
OTU370	3	2	1	3	3	3	3	1
OTU371	1	1	3	4	2	2	3	1
OTU372	0	0	2	1	0	4	3	2
OTU373	59	54	42	37	47	53	53	61
OTU374	0	0	0	0	0	0	0	0
OTU375	24	18	18	15	14	19	12	18
OTU376	3	0	1	1	0	1	2	0
OTU377	1	1	0	0	0	1	0	2
OTU378	1	2	1	2	0	0	1	1
OTU379	2	4	4	4	3	4	8	4
OTU380	1	0	0	1	0	0	0	0
OTU381	4	10	8	5	10	10	12	7
OTU382	0	0	1	0	0	0	0	0
OTU383	0	0	0	0	1	2	2	3
OTU384	1	0	0	0	0	1	0	0
OTU385	1	0	0	4	0	1	0	3
OTU386	1	1	1	1	0	3	0	1
OTU387	96	87	103	110	104	95	126	108
OTU388	1	1	1	2	1	0	0	0
OTU389	14	9	4	13	12	11	8	8
OTU390	0	0	0	0	0	0	1	0
OTU391	5	4	7	2	1	3	0	1
OTU392	0	2	2	1	0	5	4	1
OTU393	0	0	0	0	1	0	0	0
OTU394	6	1	3	1	2	3	4	1
OTU395	0	0	0	0	0	0	0	0
OTU396	2	5	5	3	0	3	0	0
OTU397	0	0	0	0	0	1	0	0
OTU398	1	1	1	2	1	1	1	0
OTU399	0	2	0	0	1	1	0	1
OTU400	40	15	29	18	14	13	29	16
OTU401	12	0	1	0	6	1	2	0
OTU402	0	0	0	0	0	0	0	0
OTU403	0	1	0	0	0	0	0	0
OTU404	2	0	0	0	0	0	0	0
OTU405	1	2	1	0	0	1	1	1
OTU406	0	0	1	1	0	1	0	1
OTU407	1	2	0	0	0	0	2	0
OTU408	0	2	1	1	4	1	0	0
OTU409	0	4	1	3	2	2	0	2
OTU410	2	0	0	0	1	0	0	0
OTU411	0	0	0	1	1	2	0	3
OTU412	32	3	0	0	230	0	1	0
OTU413	2	1	1	3	0	2	4	2
OTU414	1	0	0	1	0	0	1	0
OTU415	4	5	3	10	5	7	6	8
OTU416	0	1	0	0	0	0	0	0
OTU417	0	0	1	0	0	1	1	1
OTU418	4	1	1	0	1	1	0	1
OTU419	2	4	4	3	0	1	2	0
OTU420	1	0	0	1	0	1	1	1
OTU421	1	5	1	2	2	2	0	2
OTU422	0	0	0	1	0	0	0	0
OTU423	0	0	0	0	0	0	0	0
OTU424	3	1	0	1	2	5	4	0
OTU425	0	5	4	7	0	2	4	3
OTU426	0	0	1	0	1	0	0	1
OTU427	0	0	0	0	1	0	0	0
OTU428	6	8	10	21	8	6	10	11
OTU429	0	1	4	0	0	0	0	3
OTU430	5	3	1	1	2	0	2	0
OTU431	0	2	1	0	3	0	1	0
OTU432	3	2	2	4	5	1	1	4
OTU433	1	2	0	1	0	0	1	0
OTU434	1	0	0	0	0	1	0	0
OTU435	0	1	5	10	1	1	5	3
OTU436	0	0	1	0	0	0	0	2
OTU437	0	1	0	0	0	1	0	0
OTU438	2	3	7	8	4	5	4	6
OTU439	0	0	0	0	0	0	0	0
OTU440	1	1	2	0	2	1	1	1
OTU441	0	1	0	0	0	1	1	1
OTU442	1	2	1	6	0	1	3	5
OTU443	0	2	0	0	0	0	0	0
OTU444	1	0	1	0	0	0	1	1
OTU445	2	0	2	2	2	3	1	1
OTU446	0	0	0	1	0	0	1	0
OTU447	1	0	1	0	2	0	0	0
OTU448	3	0	0	3	3	3	1	2
OTU449	0	0	1	0	0	1	1	0
